row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
1115,Female,48,Married,Master,Other,Research & Development,Research Scientist,Travel_Rarely,2367,16530,1108,65,12,15,Very High,High,High,Low,Good,Excellent,8,10,2,7,6,No,1,3,1,No,8
1116,Male,34,Single,Master,Medical,Research & Development,Research Scientist,Travel_Rarely,2972,22061,479,35,13,7,High,Low,High,Very High,Bad,Excellent,1,1,0,0,0,No,0,4,1,No,1
1117,Male,55,Married,Doctor,Marketing,Sales,Manager,Travel_Rarely,19586,23037,685,60,21,26,High,High,Medium,Very High,Better,Outstanding,1,36,6,2,13,No,1,3,5,No,36
1118,Male,34,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,5484,13008,1351,45,17,1,Medium,Medium,High,Very High,Good,Excellent,9,9,2,2,1,No,1,3,2,No,2
1119,Female,26,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2061,11133,474,89,21,3,Low,Low,High,Very High,Better,Outstanding,1,1,0,0,0,No,0,5,1,No,1
1120,Male,38,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,9924,12355,1245,80,11,14,Very High,High,High,Medium,Better,Excellent,0,10,8,7,7,No,1,3,2,No,9
1121,Female,38,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,4198,16379,437,90,12,16,Medium,Medium,High,Medium,Best,Excellent,2,8,2,1,2,No,0,5,2,No,3
1122,Female,36,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,6815,21447,884,73,13,1,Low,Medium,High,High,Better,Excellent,6,15,0,0,0,No,0,5,2,No,1
1123,Male,29,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4723,16213,1370,87,18,3,Very High,Medium,High,Low,Better,Excellent,1,10,9,1,5,Yes,0,3,1,No,10
1124,Female,35,Single,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,6142,4223,670,51,16,10,High,Low,High,High,Better,Excellent,3,10,2,0,4,Yes,0,4,2,No,5
1125,Male,39,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,8237,4658,1462,38,11,6,Low,Very High,Very High,High,Better,Excellent,2,11,6,7,6,No,1,3,3,No,7
1126,Male,29,Divorced,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,8853,24483,995,87,19,2,Very High,Low,High,Very High,Best,Excellent,1,6,4,1,3,No,1,0,2,No,6
1127,Male,50,Married,Bachelor,Marketing,Sales,Manager,Travel_Rarely,19331,19519,264,59,16,9,High,High,High,High,Better,Excellent,4,27,0,0,0,Yes,1,2,5,No,1
1128,Male,23,Married,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,2073,12826,977,45,16,10,Very High,Very High,Very High,High,Better,Excellent,2,4,2,2,2,No,1,2,1,No,2
1129,Male,36,Married,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,5562,19711,1302,80,13,6,Very High,Low,Very High,Low,Better,Excellent,3,9,2,0,2,Yes,1,3,2,No,3
1130,Male,42,Single,College,Other,Research & Development,Manager,Travel_Rarely,19613,26362,1059,93,22,9,Very High,Very High,Medium,Very High,Better,Outstanding,8,24,0,0,1,No,0,2,5,No,1
1131,Male,35,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3407,25348,750,46,17,28,Very High,Medium,Very High,High,Good,Excellent,1,10,9,6,8,No,2,3,2,No,10
1132,Male,34,Married,Master,Technical Degree,Research & Development,Healthcare Representative,Travel_Frequently,5063,15332,653,92,14,10,Medium,Very High,Medium,High,Good,Excellent,1,8,2,7,7,No,1,3,2,No,8
1133,Female,40,Married,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,4639,11262,118,84,15,14,High,Very High,High,Low,Better,Excellent,1,5,4,1,2,No,1,2,2,No,5
1134,Male,43,Divorced,Bachelor,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,4876,5855,990,87,12,27,High,Very High,Very High,Medium,Better,Excellent,5,8,4,0,2,No,1,0,1,No,6
1135,Male,35,Married,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2690,7713,1349,63,18,7,Very High,High,Medium,Very High,Good,Excellent,1,1,0,0,1,No,1,5,1,No,1
1136,Male,46,Single,Master,Life Sciences,Sales,Manager,Travel_Rarely,17567,3156,563,56,15,1,Medium,Very High,Very High,Low,Bad,Excellent,1,27,0,0,12,No,0,5,4,No,26
1137,Male,28,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2408,7324,329,51,17,24,High,High,High,Medium,Better,Excellent,1,1,1,0,0,Yes,3,3,1,Yes,1
1138,Female,22,Married,College,Other,Research & Development,Research Scientist,Non-Travel,2814,10293,457,85,14,26,Medium,Medium,Medium,High,Good,Excellent,1,4,2,1,3,Yes,0,2,1,No,4
1139,Male,50,Married,Doctor,Medical,Research & Development,Healthcare Representative,Travel_Frequently,11245,20689,1234,41,15,20,High,Medium,High,High,Better,Excellent,2,32,8,12,13,Yes,1,3,4,No,30
1140,Female,32,Married,Master,Other,Research & Development,Research Scientist,Travel_Rarely,3312,18783,634,35,17,5,Very High,Medium,Very High,Very High,Better,Excellent,3,6,2,0,2,No,2,3,1,No,3
1141,Female,44,Divorced,Bachelor,Medical,Research & Development,Research Director,Travel_Rarely,19049,3549,1313,31,14,7,Very High,Medium,High,Very High,Good,Excellent,0,23,7,1,10,Yes,1,4,5,No,22
1142,Male,30,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2141,5348,241,48,12,7,Medium,Medium,Medium,Medium,Good,Excellent,1,6,4,1,1,No,1,3,1,No,6
1143,Female,45,Single,Doctor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,5769,23447,1015,50,14,5,Low,High,Low,Low,Better,Excellent,1,10,7,1,4,Yes,0,3,2,No,10
1144,Male,45,Married,Bachelor,Marketing,Sales,Sales Executive,Non-Travel,4385,24162,336,52,15,26,Low,Low,Medium,Low,Better,Excellent,1,10,7,4,5,No,1,2,2,No,10
1145,Male,31,Single,Master,Other,Sales,Sales Executive,Travel_Frequently,5332,21602,715,54,13,2,Very High,Very High,High,Low,Better,Excellent,7,10,2,0,3,No,0,3,2,No,5
1146,Female,36,Married,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,4663,12421,559,76,12,12,Medium,High,High,High,Better,Excellent,9,7,2,1,1,Yes,2,2,2,No,3
1147,Male,34,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,4724,17000,426,42,13,10,Low,High,Very High,Very High,Better,Excellent,1,9,7,7,2,No,1,3,2,No,9
1148,Female,49,Married,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3211,22102,722,84,14,25,Very High,High,High,Low,Good,Excellent,1,10,6,1,4,No,1,3,1,No,9
1149,Male,39,Married,Doctor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,5377,3835,1387,76,13,10,Very High,Medium,High,Low,Better,Excellent,2,10,7,7,7,No,3,3,2,No,7
1150,Male,27,Divorced,Bachelor,Other,Research & Development,Laboratory Technician,Travel_Rarely,4066,16290,1302,67,11,19,Low,Very High,Medium,Low,Better,Excellent,1,7,7,0,7,No,2,3,1,No,7
1151,Male,35,Married,Doctor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,5208,26312,819,48,11,18,Very High,Medium,Very High,Low,Better,Excellent,1,16,15,1,10,No,0,2,2,No,16
1152,Female,28,Divorced,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4877,20460,580,39,21,27,Medium,Medium,Low,Low,Good,Outstanding,0,6,3,0,0,No,1,5,2,No,5
1153,Male,21,Single,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,3117,26009,546,97,18,5,High,High,High,Very High,Better,Excellent,1,3,2,2,2,No,0,2,1,No,2
1154,Female,18,Single,College,Medical,Sales,Sales Representative,Travel_Frequently,1569,18420,544,70,12,3,High,Medium,High,Very High,Best,Excellent,1,0,0,0,0,Yes,0,2,1,Yes,0
1155,Female,47,Married,Master,Life Sciences,Human Resources,Manager,Travel_Rarely,19658,5220,1176,98,11,26,High,Very High,High,High,Better,Excellent,3,27,2,1,0,No,1,2,5,No,5
1156,Male,39,Divorced,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3069,10302,170,76,15,3,Very High,High,Medium,High,Better,Excellent,0,11,8,0,7,No,1,3,2,No,10
1157,Female,40,Married,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,10435,25800,884,80,13,15,Very High,Low,Medium,High,Better,Excellent,1,18,15,14,12,No,2,2,3,No,18
1158,Female,35,Married,Master,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,4148,12250,208,52,12,8,Very High,High,High,High,Better,Excellent,1,15,11,2,9,No,1,5,2,No,14
1159,Male,37,Married,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,5768,26493,671,85,17,19,Low,High,High,High,Good,Excellent,3,9,3,0,2,No,3,2,2,No,4
1160,Female,39,Single,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Frequently,5042,3140,711,81,13,4,Very High,Low,High,High,Bad,Excellent,0,10,2,3,8,No,0,2,2,No,9
1161,Female,45,Divorced,College,Other,Research & Development,Manufacturing Director,Travel_Rarely,5770,5388,1329,59,19,2,Low,Very High,Medium,Very High,Better,Excellent,1,10,7,3,9,No,2,3,2,No,10
1162,Female,38,Married,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,7756,14199,397,54,19,2,Very High,Very High,Medium,High,Best,Excellent,3,10,4,0,2,Yes,1,6,3,No,5
1163,Male,35,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,10306,21530,737,55,17,10,High,Very High,Medium,Low,Better,Excellent,9,15,12,6,0,No,0,3,3,Yes,13
1164,Female,37,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3936,9953,1470,71,11,10,Low,Medium,High,Medium,Bad,Excellent,1,8,4,7,7,No,1,2,1,No,8
1165,Female,40,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,7945,19948,448,84,15,16,Very High,High,High,Very High,Good,Excellent,6,18,2,3,3,Yes,0,2,3,No,4
1166,Male,44,Married,Doctor,Human Resources,Human Resources,Human Resources,Travel_Frequently,5743,10503,602,37,11,1,High,Low,High,Very High,Better,Excellent,4,14,7,0,2,Yes,0,3,2,No,10
1167,Male,48,Married,Doctor,Medical,Research & Development,Manager,Travel_Frequently,15202,5602,365,89,25,4,Medium,High,Medium,Very High,Better,Outstanding,2,23,2,2,2,No,1,3,4,No,2
1168,Male,35,Divorced,College,Medical,Sales,Sales Executive,Travel_Rarely,5440,22098,763,59,14,15,Very High,Low,Low,Very High,Good,Excellent,6,7,2,2,2,Yes,2,2,2,Yes,2
1169,Female,24,Single,Below College,Technical Degree,Research & Development,Research Scientist,Travel_Frequently,3760,17218,567,32,13,2,High,Low,High,Very High,Better,Excellent,1,6,3,1,3,Yes,0,2,1,No,6
1170,Female,27,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3517,22490,486,86,17,8,Low,Medium,Very High,High,Better,Excellent,7,5,2,0,2,No,0,0,1,No,3
1171,Male,27,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,2580,6297,591,87,13,2,High,Very High,High,Very High,Good,Excellent,2,6,2,1,2,No,0,0,1,No,4
1172,Male,40,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2166,3339,1329,73,14,7,Medium,Low,High,Low,Bad,Excellent,3,10,2,0,3,Yes,0,3,1,Yes,4
1173,Male,29,Single,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,5869,23413,469,42,11,10,High,High,Medium,High,Better,Excellent,9,8,2,1,4,No,0,2,2,No,5
1174,Female,36,Married,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,8008,22792,711,42,12,5,High,Medium,High,Low,Better,Excellent,4,9,2,0,2,No,2,6,3,No,3
1175,Male,25,Divorced,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,5206,4973,772,77,17,2,High,Very High,Very High,High,Better,Excellent,1,7,7,0,7,No,2,6,2,No,7
1176,Male,39,Married,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,5295,7693,492,66,21,12,High,Very High,High,Medium,Better,Outstanding,4,7,4,1,0,No,0,3,2,No,5
1177,Female,49,Married,Master,Other,Research & Development,Research Director,Travel_Rarely,16413,3498,301,72,16,22,Medium,Low,High,Medium,Better,Excellent,3,27,2,1,2,No,2,2,4,No,4
1178,Female,50,Divorced,Doctor,Life Sciences,Research & Development,Research Director,Travel_Rarely,13269,21981,813,50,15,17,High,Very High,Medium,Low,Better,Excellent,5,19,11,1,11,No,3,3,3,No,14
1179,Female,20,Single,Bachelor,Medical,Sales,Sales Representative,Travel_Rarely,2783,13251,1141,31,19,2,Low,High,High,High,Better,Excellent,1,2,2,2,2,No,0,3,1,No,2
1180,Female,34,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,5433,19332,1130,66,12,3,High,Very High,High,Medium,Better,Excellent,1,11,8,7,9,No,1,2,2,No,11
1181,Male,36,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2013,10950,311,77,11,7,High,Low,High,Medium,Better,Excellent,2,15,3,1,3,No,0,4,1,No,4
1182,Female,49,Married,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,13966,11652,465,41,19,6,Medium,High,Medium,High,Better,Excellent,2,30,11,2,12,Yes,1,3,4,No,15
1183,Female,36,Married,Master,Medical,Research & Development,Manufacturing Director,Non-Travel,4374,15411,894,33,15,1,High,Very High,Medium,High,Better,Excellent,0,4,2,1,2,No,0,6,2,No,3
1184,Male,36,Divorced,College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,6842,26308,1040,79,20,3,Low,Very High,Very High,Low,Better,Outstanding,6,13,4,0,4,No,1,3,2,No,5
1185,Female,54,Married,Doctor,Medical,Research & Development,Manager,Travel_Rarely,17426,18685,584,91,25,22,High,Medium,High,High,Better,Outstanding,3,36,8,4,7,No,1,6,4,No,10
1186,Male,43,Married,College,Life Sciences,Research & Development,Research Director,Travel_Rarely,17603,3525,1291,65,24,15,Low,High,Medium,High,Better,Outstanding,1,14,10,6,11,No,1,3,4,No,14
1187,Male,35,Single,Master,Other,Sales,Sales Executive,Travel_Frequently,4581,10414,880,36,24,12,Low,Very High,High,Very High,Best,Outstanding,3,13,9,6,7,Yes,0,2,2,Yes,11
1188,Male,38,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,4735,9867,1189,90,15,1,Very High,Very High,High,Very High,Best,Excellent,7,19,11,2,9,No,2,4,2,No,13
1189,Male,29,Divorced,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,4187,3356,991,43,13,5,Medium,Low,Medium,Medium,Good,Excellent,1,10,0,0,9,Yes,1,3,2,No,10
1190,Male,33,Divorced,Master,Medical,Sales,Sales Executive,Travel_Rarely,5505,3921,392,93,14,2,High,Very High,High,Very High,Better,Excellent,1,6,2,0,4,No,2,5,2,No,6
1191,Male,32,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,5470,25518,977,45,13,2,High,Very High,High,Medium,Good,Excellent,0,10,5,1,6,No,2,4,2,No,9
1192,Female,31,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,5476,22589,1112,67,11,5,Low,Low,High,Very High,Better,Excellent,1,10,0,0,2,No,2,2,2,No,10
1193,Female,49,Divorced,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2587,24941,464,74,16,16,Medium,Very High,High,Low,Good,Excellent,4,17,2,2,2,Yes,1,2,1,No,2
1194,Female,38,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2440,23826,148,42,22,2,Medium,Very High,Medium,Medium,Better,Outstanding,1,4,3,3,3,No,0,3,1,No,4
1195,Female,47,Divorced,Master,Life Sciences,Sales,Manager,Travel_Rarely,15972,21086,1225,47,14,2,High,Medium,Very High,Medium,Better,Excellent,6,29,2,1,2,No,3,2,4,No,3
1196,Male,49,Single,Bachelor,Life Sciences,Research & Development,Manager,Travel_Rarely,15379,22384,809,36,14,1,Low,High,High,High,Better,Excellent,4,23,7,0,0,No,0,2,4,No,8
1197,Male,41,Single,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,7082,11591,1206,80,16,23,Very High,Very High,High,High,Better,Excellent,3,21,0,0,2,Yes,0,2,3,No,2
1198,Male,20,Single,Below College,Life Sciences,Sales,Sales Representative,Travel_Rarely,2728,21082,727,54,11,9,Low,Very High,High,Low,Better,Excellent,1,2,2,0,2,No,0,3,1,No,2
1199,Female,33,Divorced,Bachelor,Life Sciences,Sales,Sales Executive,Non-Travel,5368,16130,530,36,25,16,High,High,High,Very High,Better,Outstanding,1,7,5,1,2,Yes,1,2,2,No,6
1200,Male,36,Married,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,5347,7419,1351,80,14,26,Medium,Low,High,High,Good,Excellent,6,10,2,0,2,No,2,2,2,No,3
1201,Female,44,Divorced,Bachelor,Life Sciences,Human Resources,Human Resources,Travel_Rarely,3195,4167,528,44,18,1,Low,High,High,Very High,Better,Excellent,4,8,2,2,2,Yes,3,2,1,No,2
1202,Male,23,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3989,20586,1320,93,11,8,Low,Very High,Medium,High,Better,Excellent,1,5,4,1,2,Yes,0,2,1,Yes,5
1203,Female,38,Married,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3306,26176,1495,87,19,4,Very High,Very High,High,High,Good,Excellent,7,7,0,0,0,No,1,5,1,No,0
1204,Male,53,Married,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,7005,3458,1395,48,15,24,High,Medium,Very High,Very High,Better,Excellent,3,11,3,1,2,No,0,2,3,No,4
1205,Female,48,Married,College,Medical,Sales,Sales Representative,Travel_Frequently,2655,11740,708,95,11,7,High,Very High,High,High,Better,Excellent,2,19,7,7,7,Yes,2,3,1,Yes,9
1206,Male,32,Single,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,1393,24852,1259,95,12,2,Low,Very High,High,Medium,Better,Excellent,1,1,0,0,0,No,0,2,1,Yes,1
1207,Male,26,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Non-Travel,2570,11925,786,76,20,7,High,Very High,High,Very High,Better,Outstanding,1,7,7,5,7,No,0,5,1,No,7
1208,Male,55,Divorced,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,3537,23737,1441,94,12,22,Very High,Low,Medium,Medium,Better,Excellent,5,8,2,1,2,No,1,1,1,No,4
1209,Male,34,Married,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3986,11912,1157,57,14,5,High,Medium,Medium,Very High,Best,Excellent,1,15,10,4,13,No,1,3,2,No,15
1210,Male,60,Divorced,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,10883,20467,370,92,20,1,High,High,Low,Very High,Best,Outstanding,3,19,0,0,0,No,1,2,3,No,1
1211,Male,33,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2028,13637,267,79,18,21,Very High,Medium,Very High,Medium,Better,Excellent,1,14,11,2,13,No,3,6,1,No,14
1212,Male,37,Divorced,Master,Medical,Sales,Sales Executive,Travel_Frequently,9525,7677,1278,31,14,1,High,High,Low,Very High,Good,Excellent,1,6,3,1,3,No,2,2,2,No,6
1213,Female,34,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2929,20338,678,35,12,19,Medium,Medium,Medium,Very High,Better,Excellent,1,10,9,8,7,No,0,3,1,No,10
1214,Male,23,Divorced,Bachelor,Life Sciences,Sales,Sales Representative,Travel_Rarely,2275,25103,427,99,21,7,Medium,High,High,Very High,Better,Outstanding,1,3,2,0,2,Yes,1,2,1,Yes,3
1215,Female,44,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,7879,14810,921,96,19,2,Medium,High,Very High,Very High,Better,Excellent,1,9,7,6,7,Yes,1,2,3,No,8
1216,Male,35,Single,Master,Medical,Research & Development,Research Scientist,Travel_Frequently,4930,13970,146,79,14,2,High,Low,Medium,Very High,Best,Excellent,0,6,4,1,4,Yes,0,2,1,No,5
1217,Male,43,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,7847,6069,1179,73,17,2,Low,Very High,High,Very High,Better,Excellent,1,10,9,8,8,Yes,1,3,2,No,10
1218,Male,24,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,4401,17616,581,62,16,9,Very High,High,Very High,High,Better,Excellent,1,5,3,0,4,No,1,1,1,No,5
1219,Male,41,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,9241,15869,918,35,12,6,Medium,Very High,High,High,Better,Excellent,1,10,8,8,7,No,0,3,3,No,10
1220,Female,29,Married,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2974,25412,1082,43,17,9,High,Very High,High,High,Better,Excellent,9,9,3,1,2,No,1,2,1,No,5
1221,Female,36,Single,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,4502,7439,530,51,15,2,High,High,High,Very High,Good,Excellent,3,17,7,6,7,No,0,2,2,No,13
1222,Male,45,Married,Below College,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,10748,3395,1238,74,23,1,Very High,High,Medium,High,Good,Outstanding,3,25,15,14,4,No,1,3,3,No,23
1223,Male,24,Married,Below College,Human Resources,Human Resources,Human Resources,Travel_Rarely,1555,11585,240,58,11,22,High,Very High,Low,High,Better,Excellent,1,1,0,0,0,No,1,2,1,Yes,1
1224,Male,47,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Frequently,12936,24164,1093,82,11,9,High,High,Low,High,Bad,Excellent,7,25,5,14,10,No,0,3,4,Yes,23
1225,Male,26,Married,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2305,6217,390,62,15,17,High,Very High,Low,High,Best,Excellent,1,3,2,0,2,No,3,3,1,No,3
1226,Female,45,Single,College,Technical Degree,Research & Development,Research Director,Travel_Rarely,16704,17119,1005,48,11,28,High,Very High,Medium,Medium,Better,Excellent,1,21,6,8,6,No,0,2,4,No,21
1227,Male,32,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,3433,17360,585,56,13,10,Low,Low,High,High,Good,Excellent,6,10,2,1,3,No,1,3,1,No,5
1228,Male,31,Married,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3477,18103,741,69,14,2,Very High,Medium,High,High,Best,Excellent,1,6,2,0,3,No,1,2,1,No,5
1229,Male,41,Married,Bachelor,Human Resources,Human Resources,Human Resources,Non-Travel,6430,20794,552,60,19,4,Medium,High,Low,Medium,Better,Excellent,6,10,2,1,2,No,1,4,2,No,3
1230,Female,40,Married,College,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,6516,5041,369,92,16,8,Medium,Medium,High,Low,Better,Excellent,2,18,0,0,0,Yes,1,3,2,No,1
1231,Male,24,Divorced,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3907,3622,506,91,13,29,Medium,Medium,High,Low,Best,Excellent,1,6,2,1,2,No,3,2,1,No,6
1232,Male,46,Single,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,5562,9697,717,34,14,13,Very High,High,High,Medium,Better,Excellent,6,19,7,0,9,No,0,3,2,No,10
1233,Male,35,Married,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,6883,5151,1370,49,16,27,Medium,Very High,High,High,Better,Excellent,2,17,7,0,7,No,1,3,2,No,7
1234,Male,30,Married,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2862,3811,793,33,12,16,Medium,Medium,High,Very High,Good,Excellent,1,10,0,0,8,No,1,2,1,No,10
1235,Male,47,Married,Master,Marketing,Sales,Sales Executive,Non-Travel,4978,3536,543,87,11,2,Very High,High,High,Medium,Bad,Excellent,7,4,0,0,0,No,1,3,2,No,1
1236,Male,46,Divorced,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,10368,5596,1277,74,12,2,Medium,High,High,Very High,Good,Excellent,4,13,6,0,3,Yes,1,5,3,No,10
1237,Male,36,Divorced,Doctor,Marketing,Sales,Sales Executive,Travel_Rarely,6134,8658,1456,96,13,13,Medium,Medium,Medium,Low,Better,Excellent,5,16,2,2,2,Yes,3,3,2,Yes,2
1238,Male,32,Single,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,6735,12147,964,34,15,1,Medium,Low,Low,Medium,Better,Excellent,6,10,0,0,0,No,0,2,2,Yes,0
1239,Female,23,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3295,12862,160,51,13,4,High,High,High,Medium,Bad,Excellent,1,3,2,1,2,No,0,3,1,No,3
1240,Female,31,Single,Below College,Technical Degree,Research & Development,Manufacturing Director,Travel_Frequently,5238,6670,163,30,20,24,Very High,Very High,High,Very High,Good,Outstanding,2,9,4,1,4,No,0,3,2,No,5
1241,Male,39,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,6472,8989,792,77,15,1,Very High,Very High,High,Very High,Better,Excellent,1,9,8,5,8,Yes,1,2,2,No,9
1242,Male,32,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,9610,3840,371,80,13,19,High,Very High,Low,High,Bad,Excellent,3,10,3,0,2,No,1,2,3,No,4
1243,Male,40,Single,Master,Medical,Sales,Manager,Travel_Rarely,19833,4349,611,88,14,7,Medium,Medium,High,Medium,Good,Excellent,1,21,8,12,8,No,0,3,5,No,21
1244,Female,45,Married,Bachelor,Life Sciences,Human Resources,Human Resources,Travel_Rarely,9756,6595,176,56,21,4,High,High,Low,High,Best,Outstanding,4,9,0,0,3,No,2,2,3,No,5
1245,Female,30,Single,Master,Technical Degree,Research & Development,Research Scientist,Travel_Frequently,4968,26427,1312,78,16,2,Very High,Very High,Medium,Low,Better,Excellent,0,10,7,0,7,No,0,2,1,No,9
1246,Male,24,Married,Bachelor,Medical,Human Resources,Human Resources,Travel_Frequently,2145,2097,897,59,14,10,Very High,Low,High,Very High,Better,Excellent,0,3,2,2,1,No,1,2,1,No,2
1247,Female,30,Divorced,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Frequently,2180,9732,600,66,11,8,High,High,Medium,Very High,Good,Excellent,6,6,2,1,2,No,1,0,1,Yes,4
1248,Male,31,Married,Bachelor,Technical Degree,Sales,Sales Executive,Travel_Rarely,8346,20943,1003,51,19,5,High,Low,High,High,Better,Excellent,1,6,2,0,2,No,1,3,2,No,5
1249,Female,27,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3445,6152,1054,67,11,8,High,High,High,Very High,Good,Excellent,1,6,2,1,4,No,0,5,1,No,6
1250,Female,29,Single,Bachelor,Marketing,Sales,Sales Representative,Travel_Rarely,2760,14630,428,52,13,9,High,Medium,Low,Medium,Better,Excellent,1,2,2,2,2,No,0,3,1,Yes,2
